# Group overlaps (Jarrard similarity index) in terms of records shared from the table 'kelpme_tax.biom'
# Based on groups table 'FAPROTAX.txt'
# Generated on: 2024.03.27 18:42:21
# Used command:
#   'C:\Users\sammu\OneDrive - UBC\Documents\GitHub\Bio503-project\collapse_table.py' -i kelpme_tax.biom -o kelpme_func.biom -g FAPROTAX.txt --collapse_by_metadata taxonomy -v -s kelpme_sub_tables --out_groups2records_table kelpme_groups2records.txt --out_group_overlaps kelpme_overlaps.txt --omit_unrepresented_groups --group_leftovers_as unannotated_asvs
#
# Summary:
#   Loaded 92 groups comprising 8357 members (5068 unique members)
#   Established 2021 assignments of records to groups
#   2478 out of 3450 records could not be assigned to any group (unannotated_asvs)
#   Number of groups represented: 42
#
group	methanol_oxidation	methylotrophy	aerobic_ammonia_oxidation	nitrification	sulfate_respiration	dark_sulfite_oxidation	sulfite_respiration	thiosulfate_respiration	respiration_of_sulfur_compounds	knallgas_bacteria	dark_hydrogen_oxidation	cellulolysis	dark_sulfide_oxidation	dark_sulfur_oxidation	dark_thiosulfate_oxidation	dark_oxidation_of_sulfur_compounds	fermentation	aerobic_chemoheterotrophy	human_pathogens_all	human_associated	animal_parasites_or_symbionts	oil_bioremediation	aromatic_compound_degradation	aliphatic_non_methane_hydrocarbon_degradation	hydrocarbon_degradation	iron_respiration	nitrate_respiration	nitrate_reduction	nitrogen_respiration	intracellular_parasites	predatory_or_exoparasitic	nonphotosynthetic_cyanobacteria	photosynthetic_cyanobacteria	anoxygenic_photoautotrophy_S_oxidizing	anoxygenic_photoautotrophy	oxygenic_photoautotrophy	photoautotrophy	aerobic_anoxygenic_phototrophy	photoheterotrophy	phototrophy	ureolysis	chemoheterotrophy
methanol_oxidation	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01210653753
methylotrophy	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01210653753
aerobic_ammonia_oxidation	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrification	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfate_respiration	0	0	0	0	1	0	0.2857142857	0.1666666667	0.9333333333	0	0.8965517241	0	0	0	0	0	0.08235294118	0	0	0	0	0	0	0	0	0.03571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01304863582
dark_sulfite_oxidation	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0.5185185185	0	0.0232172471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01694915254
sulfite_respiration	0	0	0	0	0.2857142857	0	1	0.5	0.2666666667	0	0.2068965517	0	0	0	0	0	0.1076923077	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0084643289
thiosulfate_respiration	0	0	0	0	0.1666666667	0	0.5	1	0.2333333333	0	0.1724137931	0	0	0	0	0	0.07575757576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006038647343
respiration_of_sulfur_compounds	0	0	0	0	0.9333333333	0	0.2666666667	0.2333333333	1	0	0.8387096774	0	0	0	0	0	0.08045977011	0	0	0	0	0	0	0	0	0.03333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01301775148
knallgas_bacteria	0	0	0	0	0	0	0	0	0	1	0.03703703704	0	0	0	1	0.03703703704	0.015625	0.001658374793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001210653753
dark_hydrogen_oxidation	0	0	0	0	0.8965517241	0	0.2068965517	0.1724137931	0.8387096774	0.03703703704	1	0	0	0	0.03703703704	0.01886792453	0.07058823529	0.001589825119	0	0	0	0	0	0	0	0.03703703704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0118623962
cellulolysis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.03482587065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02542372881
dark_sulfide_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.4444444444	0	0	0	0	0	0	0	0	0	0	0.05555555556	0.01851851852	0.05555555556	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfur_oxidation	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0.5185185185	0	0.0232172471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01694915254
dark_thiosulfate_oxidation	0	0	0	0	0	0	0	0	0	1	0.03703703704	0	0	0	1	0.03703703704	0.015625	0.001658374793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001210653753
dark_oxidation_of_sulfur_compounds	0	0	0	0	0	0.5185185185	0	0	0	0.03703703704	0.01886792453	0	0.4444444444	0.5185185185	0.03703703704	1	0.01111111111	0.0243902439	0	0	0	0	0	0	0	0	0.0303030303	0.01449275362	0.0303030303	0	0	0	0	0	0	0	0	0	0	0	0	0.01789976134
fermentation	0	0	0	0	0.08235294118	0	0.1076923077	0.07575757576	0.08045977011	0.015625	0.07058823529	0	0	0	0.015625	0.01111111111	1	0.02143950995	0	0	0.04615384615	0	0	0	0	0	0	0.3544303797	0	0	0	0	0	0	0	0	0	0	0.01515151515	0.009615384615	0.01515151515	0.07748184019
aerobic_chemoheterotrophy	0	0	0	0	0	0.0232172471	0	0	0	0.001658374793	0.001589825119	0.03482587065	0	0.0232172471	0.001658374793	0.0243902439	0.02143950995	1	0.001658374793	0.001658374793	0.004966887417	0.001658374793	0.003316749585	0.003316749585	0.008291873964	0	0.009933774834	0.03194888179	0.009933774834	0	0	0	0	0	0	0	0	0.003316749585	0.004975124378	0.004680187207	0.001652892562	0.7300242131
human_pathogens_all	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001658374793	1	1	0.25	0	0	0	0	0	0.1428571429	0.02325581395	0.1428571429	0	0	0	0	0	0	0	0	0	0	0	0	0.001210653753
human_associated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001658374793	1	1	0.25	0	0	0	0	0	0.1428571429	0.02325581395	0.1428571429	0	0	0	0	0	0	0	0	0	0	0	0	0.001210653753
animal_parasites_or_symbionts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04615384615	0.004966887417	0.25	0.25	1	0	0	0	0	0	0.1	0.06818181818	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.004842615012
oil_bioremediation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001658374793	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001210653753
aromatic_compound_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003316749585	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002421307506
aliphatic_non_methane_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003316749585	0	0	0	0	0	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002421307506
hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008291873964	0	0	0	0	0	0.4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006053268765
iron_respiration	0	0	0	0	0.03571428571	0	0.125	0	0.03333333333	0	0.03703703704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0.05555555556	0	0	0.0303030303	0	0.009933774834	0.1428571429	0.1428571429	0.1	0	0	0	0	0	1	0.1627906977	1	0	0	0	0	0	0	0	0	0	0	0	0	0.007255139057
nitrate_reduction	0	0	0	0	0	0	0	0	0	0	0	0	0.01851851852	0	0	0.01449275362	0.3544303797	0.03194888179	0.02325581395	0.02325581395	0.06818181818	0	0	0	0	0	0.1627906977	1	0.1627906977	0	0	0	0	0	0	0	0	0	0	0	0.02222222222	0.04951690821
nitrogen_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0.05555555556	0	0	0.0303030303	0	0.009933774834	0.1428571429	0.1428571429	0.1	0	0	0	0	0	1	0.1627906977	1	0	0	0	0	0	0	0	0	0	0	0	0	0.007255139057
intracellular_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
nonphotosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
photosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0.9736842105	0	0	0.9024390244	0	0
anoxygenic_photoautotrophy_S_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.02631578947	0	0	0.0243902439	0	0
anoxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.02631578947	0	0	0.0243902439	0	0
oxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0.9736842105	0	0	0.9024390244	0	0
photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9736842105	0.02631578947	0.02631578947	0.9736842105	1	0	0	0.9268292683	0	0
aerobic_anoxygenic_phototrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003316749585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.6666666667	0.0487804878	0	0.002421307506
photoheterotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01515151515	0.004975124378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666667	1	0.07317073171	0	0.003631961259
phototrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009615384615	0.004680187207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9024390244	0.0243902439	0.0243902439	0.9024390244	0.9268292683	0.0487804878	0.07317073171	1	0	0.003472222222
ureolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01515151515	0.001652892562	0	0	0	0	0	0	0	0	0	0.02222222222	0	0	0	0	0	0	0	0	0	0	0	0	1	0.002418379686
chemoheterotrophy	0.01210653753	0.01210653753	0	0	0.01304863582	0.01694915254	0.0084643289	0.006038647343	0.01301775148	0.001210653753	0.0118623962	0.02542372881	0	0.01694915254	0.001210653753	0.01789976134	0.07748184019	0.7300242131	0.001210653753	0.001210653753	0.004842615012	0.001210653753	0.002421307506	0.002421307506	0.006053268765	0	0.007255139057	0.04951690821	0.007255139057	0	0	0	0	0	0	0	0	0.002421307506	0.003631961259	0.003472222222	0.002418379686	1
